Ma_Don,Ngay_Dat,Ma_Khach_Hang,So_Dien_Thoai,Tinh_Thanh,Ma_San_Pham,Ten_San_Pham,Nhom_Hang,So_Luong,Don_Gia,Ty_Le_Giam_Gia,Tien_Giam,Tong_Hang,VAT_10,Phi_Van_Chuyen,Tong_Thanh_Toan,Don_Vi_Giao,Phuong_Thuc_Thanh_Toan,Kenh_Ban,Trang_Thai,Ngay_Giao_Du_Kien,So_Lan_Khach_Quay_Lai,thuong_hieu,danh_muc
DH2020005860,2020-01-03,KH00075,0332403574,TP. H? Chí Minh,SP014,Loa Bluetooth JBL Go 4,?? ?i?n t?,2,"1,190,000",12%,"286,000","2,380,000","209,000","30,000","2,333,000",Ninja Van,Th? ngân hàng,C?a hàng,Hoàn hàng,2020-01-07,9,JBL,Loa
DH2020007436,2020-01-03,KH00304,0767453229,TP. H? Chí Minh,SP011,Tai nghe AirPods 3,?? ?i?n t?,3,"3,990,000",3%,"359,000","11,970,000","1,161,000","25,000","12,797,000",J&T Express,COD,Zalo,?ã giao,2020-01-05,2,Apple,Tai nghe
DH2020001394,2020-01-04,KH00001,0853807152,C?n Th?,SP025,Máy in Canon LBP 2900,?? ?i?n t?,1,"4,290,000",3%,"129,000","4,290,000","416,000","18,000","4,595,000",Giao Hàng Ti?t Ki?m,Th? ngân hàng,Website,?ã xác nh?n,2020-01-10,20,Canon,Máy in
DH2020003749,2020-01-04,KH00130,0931614442,C?n Th?,SP001,Samsung Galaxy A15,?? ?i?n t?,3,"4,590,000",3%,"413,000","13,770,000","1,336,000","18,000","14,711,000",Ninja Van,Ví ?i?n t?,Shopee,H?y ??n,2020-01-10,5,Samsung,?i?n tho?i
DH2020004511,2020-01-04,KH00001,0853807152,??ng Nai,SP002,Samsung Galaxy S24,?? ?i?n t?,1,"18,990,000",12%,"2,279,000","18,990,000","1,671,000","35,000","18,417,000",Viettel Post,Chuy?n kho?n,Facebook,?ã giao,2020-01-07,20,Samsung,?i?n tho?i
DH2020006757,2020-01-04,KH00110,0356833542,An Giang,SP011,Tai nghe AirPods 3,?? ?i?n t?,2,"3,990,000",3%,"239,000","7,980,000","774,000","35,000","8,550,000",Giao Hàng Nhanh,Th? ngân hàng,Website,?ã giao,2020-01-07,12,Apple,Tai nghe
DH2020007313,2020-01-04,KH00001,0853807152,TP. H? Chí Minh,SP002,Samsung Galaxy S24,?? ?i?n t?,2,"18,990,000",10%,"3,798,000","37,980,000","3,418,000","28,000","37,628,000",VNPost,Th? ngân hàng,Website,?ã giao,2020-01-09,20,Samsung,?i?n tho?i
DH2020001827,2020-01-05,KH00125,0860741326,An Giang,SP001,Samsung Galaxy A15,?? ?i?n t?,10,"4,590,000",0%,0,"45,900,000","4,590,000","40,000","50,530,000",VNPost,Ví ?i?n t?,TikTok Shop,?ã giao,2020-01-07,6,Samsung,?i?n tho?i
DH2020006552,2020-01-05,KH00001,0853807152,C?n Th?,SP012,Tai nghe Samsung Galaxy Buds FE,?? ?i?n t?,3,"1,590,000",10%,"477,000","4,770,000","429,000","25,000","4,747,000",Ninja Van,Ví ?i?n t?,Zalo,?ã giao,2020-01-07,20,Samsung,Tai nghe
DH2020006694,2020-01-05,KH00307,0810028728,TP. H? Chí Minh,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,6,"7,990,000",7%,"3,356,000","47,940,000","4,458,000","30,000","49,072,000",Ninja Van,Ví ?i?n t?,Zalo,Hoàn hàng,2020-01-10,4,Samsung,Tivi
DH2020007463,2020-01-05,KH00113,0854858670,TP. H? Chí Minh,SP024,Samsung Galaxy Watch6,?? ?i?n t?,3,"5,490,000",3%,"494,000","16,470,000","1,598,000","22,000","17,596,000",VNPost,COD,Website,?ã giao,2020-01-08,11,Samsung,??ng h? thông minh
DH2020008106,2020-01-05,KH00025,0782092292,Tây Ninh,SP024,Samsung Galaxy Watch6,?? ?i?n t?,1,"5,490,000",0%,0,"5,490,000","549,000","18,000","6,057,000",VNPost,Chuy?n kho?n,Zalo,?ã giao,2020-01-10,20,Samsung,??ng h? thông minh
DH2020008286,2020-01-05,KH00005,0705762159,TP. H? Chí Minh,SP008,Laptop Dell Inspiron 15,?? ?i?n t?,3,"13,990,000",20%,"8,394,000","41,970,000","3,358,000","18,000","36,952,000",Giao Hàng Ti?t Ki?m,Th? ngân hàng,Shopee,?ã giao,2020-01-07,20,Dell,Laptop
DH2020009083,2020-01-05,KH00001,0853807152,??ng Nai,SP004,iPhone 14,?? ?i?n t?,1,"16,990,000",7%,"1,189,000","16,990,000","1,580,000","22,000","17,403,000",Ninja Van,Ví ?i?n t?,Website,?ã giao,2020-01-08,20,Apple,?i?n tho?i
DH2020001339,2020-01-06,KH00073,0328046120,An Giang,SP022,Cáp s?c Type-C Anker,?? ?i?n t?,5,"190,000",5%,"48,000","950,000","90,000","45,000","1,037,000",Viettel Post,Ví ?i?n t?,Shopee,?ã giao,2020-01-11,19,Anker,Ph? ki?n
DH2020004819,2020-01-06,KH00001,0853807152,TP. H? Chí Minh,SP024,Samsung Galaxy Watch6,?? ?i?n t?,1,"5,490,000",5%,"274,000","5,490,000","522,000","22,000","5,760,000",VNPost,Ví ?i?n t?,TikTok Shop,?ã giao,2020-01-08,20,Samsung,??ng h? thông minh
DH2020008719,2020-01-06,KH00001,0853807152,Tây Ninh,SP024,Samsung Galaxy Watch6,?? ?i?n t?,3,"5,490,000",7%,"1,153,000","16,470,000","1,532,000","18,000","16,867,000",Viettel Post,Chuy?n kho?n,Zalo,?ã giao,2020-01-10,20,Samsung,??ng h? thông minh
DH2020009051,2020-01-06,KH00004,0358998449,Cà Mau,SP007,MacBook Air M2,?? ?i?n t?,1,"23,990,000",12%,"2,879,000","23,990,000","2,111,000","18,000","23,240,000",Giao Hàng Nhanh,Th? ngân hàng,Shopee,?ã giao,2020-01-08,20,Apple,Laptop
DH2020000444,2020-01-07,KH00515,0941688807,??ng Nai,SP024,Samsung Galaxy Watch6,?? ?i?n t?,3,"5,490,000",0%,0,"16,470,000","1,647,000","28,000","18,145,000",VNPost,COD,Facebook,?ã giao,2020-01-12,3,Samsung,??ng h? thông minh
DH2020002081,2020-01-07,KH00006,0885212220,An Giang,SP006,Xiaomi Pad 6,?? ?i?n t?,1,"7,990,000",0%,0,"7,990,000","799,000","40,000","8,829,000",Giao Hàng Ti?t Ki?m,Th? ngân hàng,TikTok Shop,?ang giao,2020-01-13,20,Xiaomi,Máy tính b?ng
DH2020002965,2020-01-07,KH00001,0853807152,Tây Ninh,SP011,Tai nghe AirPods 3,?? ?i?n t?,1,"3,990,000",15%,"598,000","3,990,000","339,000","40,000","3,771,000",Ninja Van,Chuy?n kho?n,Zalo,?ã giao,2020-01-13,20,Apple,Tai nghe
DH2020003076,2020-01-07,KH00019,0330686394,TP. H? Chí Minh,SP007,MacBook Air M2,?? ?i?n t?,1,"23,990,000",10%,"2,399,000","23,990,000","2,159,000","40,000","23,790,000",Ninja Van,Chuy?n kho?n,TikTok Shop,Hoàn hàng,2020-01-13,20,Apple,Laptop
DH2020005458,2020-01-07,KH00002,0771235506,An Giang,SP010,Laptop Asus Vivobook 15,?? ?i?n t?,1,"12,990,000",10%,"1,299,000","12,990,000","1,169,000","22,000","12,882,000",Viettel Post,Chuy?n kho?n,Website,?ang giao,2020-01-09,20,Asus,Laptop
DH2020005524,2020-01-07,KH00001,0853807152,C?n Th?,SP022,Cáp s?c Type-C Anker,?? ?i?n t?,3,"190,000",20%,"114,000","570,000","46,000","45,000","547,000",Viettel Post,Th? ngân hàng,Zalo,?ã giao,2020-01-09,20,Anker,Ph? ki?n
DH2020009664,2020-01-07,KH00022,0933464208,An Giang,SP016,Smart TV LG 55 inch,?? ?i?n t?,2,"11,990,000",7%,"1,679,000","23,980,000","2,230,000","40,000","24,571,000",Giao Hàng Ti?t Ki?m,Th? ngân hàng,Shopee,?ã giao,2020-01-10,20,LG,Tivi
DH2020000116,2020-01-08,KH00016,0983133743,Cà Mau,SP002,Samsung Galaxy S24,?? ?i?n t?,4,"18,990,000",15%,"11,394,000","75,960,000","6,457,000","35,000","71,058,000",J&T Express,COD,Shopee,?ã giao,2020-01-12,20,Samsung,?i?n tho?i
DH2020001378,2020-01-08,KH00002,0771235506,An Giang,SP006,Xiaomi Pad 6,?? ?i?n t?,1,"7,990,000",12%,"959,000","7,990,000","703,000","18,000","7,752,000",J&T Express,Th? ngân hàng,TikTok Shop,?ã giao,2020-01-11,20,Xiaomi,Máy tính b?ng
DH2020001936,2020-01-08,KH00684,0820565283,TP. H? Chí Minh,SP026,Camera Xiaomi C300,?? ?i?n t?,4,"990,000",0%,0,"3,960,000","396,000","45,000","4,401,000",Giao Hàng Ti?t Ki?m,COD,TikTok Shop,?ã giao,2020-01-14,2,Xiaomi,Camera
DH2020003183,2020-01-08,KH00276,0331959717,TP. H? Chí Minh,SP013,Tai nghe Xiaomi Redmi Buds 5,?? ?i?n t?,2,"990,000",0%,0,"1,980,000","198,000","18,000","2,196,000",J&T Express,Ví ?i?n t?,Shopee,?ã giao,2020-01-14,2,Xiaomi,Tai nghe
DH2020004381,2020-01-08,KH00005,0705762159,??ng Nai,SP016,Smart TV LG 55 inch,?? ?i?n t?,5,"11,990,000",5%,"2,998,000","59,950,000","5,695,000","18,000","62,665,000",Ninja Van,Ví ?i?n t?,Shopee,?ã giao,2020-01-14,20,LG,Tivi
DH2020002062,2020-01-09,KH00018,0857033519,An Giang,SP019,Bàn phím Logitech K380,?? ?i?n t?,3,"690,000",3%,"62,000","2,070,000","201,000","22,000","2,231,000",J&T Express,Th? ngân hàng,Website,?ã giao,2020-01-13,20,Logitech,Ph? ki?n
DH2020003763,2020-01-09,KH00073,0328046120,An Giang,SP010,Laptop Asus Vivobook 15,?? ?i?n t?,2,"12,990,000",15%,"3,897,000","25,980,000","2,208,000","28,000","24,319,000",VNPost,Chuy?n kho?n,Shopee,?ã giao,2020-01-15,19,Asus,Laptop
DH2020003931,2020-01-09,KH00003,0967250448,TP. H? Chí Minh,SP019,Bàn phím Logitech K380,?? ?i?n t?,6,"690,000",5%,"207,000","4,140,000","393,000","25,000","4,351,000",VNPost,Th? ngân hàng,TikTok Shop,Hoàn hàng,2020-01-15,20,Logitech,Ph? ki?n
DH2020007163,2020-01-09,KH00369,0937311979,Cà Mau,SP001,Samsung Galaxy A15,?? ?i?n t?,4,"4,590,000",10%,"1,836,000","18,360,000","1,652,000","28,000","18,204,000",Giao Hàng Nhanh,Ví ?i?n t?,Website,Hoàn hàng,2020-01-13,1,Samsung,?i?n tho?i
DH2020007577,2020-01-09,KH00250,0913689173,TP. H? Chí Minh,SP001,Samsung Galaxy A15,?? ?i?n t?,5,"4,590,000",10%,"2,295,000","22,950,000","2,066,000","28,000","22,749,000",J&T Express,COD,Zalo,?ã giao,2020-01-11,4,Samsung,?i?n tho?i
DH2020009257,2020-01-09,KH00017,0373648652,An Giang,SP001,Samsung Galaxy A15,?? ?i?n t?,1,"4,590,000",0%,0,"4,590,000","459,000","18,000","5,067,000",Ninja Van,Ví ?i?n t?,C?a hàng,?ã giao,2020-01-11,20,Samsung,?i?n tho?i
DH2020009466,2020-01-09,KH00040,0352402878,An Giang,SP009,Laptop HP Pavilion 14,?? ?i?n t?,2,"15,990,000",0%,0,"31,980,000","3,198,000","35,000","35,213,000",Viettel Post,Chuy?n kho?n,Zalo,?ã giao,2020-01-11,20,HP,Laptop
DH2020003157,2020-01-10,KH00006,0885212220,??ng Nai,SP001,Samsung Galaxy A15,?? ?i?n t?,5,"4,590,000",5%,"1,148,000","22,950,000","2,180,000","45,000","24,027,000",Giao Hàng Ti?t Ki?m,Th? ngân hàng,C?a hàng,?ã xác nh?n,2020-01-15,20,Samsung,?i?n tho?i
DH2020007129,2020-01-10,KH00002,0771235506,TP. H? Chí Minh,SP003,iPhone 15,?? ?i?n t?,1,"19,990,000",5%,"1,000,000","19,990,000","1,899,000","25,000","20,914,000",Giao Hàng Nhanh,Ví ?i?n t?,Facebook,H?y ??n,2020-01-16,20,Apple,?i?n tho?i
DH2020007563,2020-01-10,KH00004,0358998449,Cà Mau,SP001,Samsung Galaxy A15,?? ?i?n t?,2,"4,590,000",10%,"918,000","9,180,000","826,000","30,000","9,118,000",J&T Express,Th? ngân hàng,Shopee,?ang giao,2020-01-13,20,Samsung,?i?n tho?i
DH2020002313,2020-01-11,KH00061,0861527597,C?n Th?,SP007,MacBook Air M2,?? ?i?n t?,2,"23,990,000",5%,"2,399,000","47,980,000","4,558,000","30,000","50,169,000",Giao Hàng Nhanh,Chuy?n kho?n,TikTok Shop,?ã giao,2020-01-14,11,Apple,Laptop
DH2020002589,2020-01-11,KH00481,0818288530,TP. H? Chí Minh,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,2,"7,990,000",0%,0,"15,980,000","1,598,000","40,000","17,618,000",Giao Hàng Ti?t Ki?m,Chuy?n kho?n,C?a hàng,?ã giao,2020-01-16,4,Samsung,Tivi
DH2020004759,2020-01-11,KH00001,0853807152,??ng Tháp,SP014,Loa Bluetooth JBL Go 4,?? ?i?n t?,5,"1,190,000",15%,"892,000","5,950,000","506,000","30,000","5,594,000",VNPost,COD,Website,?ã giao,2020-01-17,20,JBL,Loa
DH2020007206,2020-01-11,KH00520,0818329577,V?nh Long,SP024,Samsung Galaxy Watch6,?? ?i?n t?,2,"5,490,000",12%,"1,318,000","10,980,000","966,000","28,000","10,656,000",J&T Express,Th? ngân hàng,Shopee,?ã giao,2020-01-13,4,Samsung,??ng h? thông minh
DH2020002314,2020-01-12,KH00163,0982115845,??ng Tháp,SP006,Xiaomi Pad 6,?? ?i?n t?,1,"7,990,000",3%,"240,000","7,990,000","775,000","18,000","8,543,000",Ninja Van,COD,Zalo,?ã giao,2020-01-17,7,Xiaomi,Máy tính b?ng
DH2020005028,2020-01-12,KH00002,0771235506,Tây Ninh,SP001,Samsung Galaxy A15,?? ?i?n t?,1,"4,590,000",7%,"321,000","4,590,000","427,000","22,000","4,718,000",Viettel Post,Th? ngân hàng,Website,?ã giao,2020-01-17,20,Samsung,?i?n tho?i
DH2020009618,2020-01-12,KH00001,0853807152,TP. H? Chí Minh,SP002,Samsung Galaxy S24,?? ?i?n t?,3,"18,990,000",0%,0,"56,970,000","5,697,000","25,000","62,692,000",J&T Express,Ví ?i?n t?,Shopee,?ã giao,2020-01-17,20,Samsung,?i?n tho?i
DH2020000932,2020-01-13,KH00002,0771235506,C?n Th?,SP024,Samsung Galaxy Watch6,?? ?i?n t?,8,"5,490,000",15%,"6,588,000","43,920,000","3,733,000","30,000","41,095,000",VNPost,Chuy?n kho?n,TikTok Shop,Hoàn hàng,2020-01-15,20,Samsung,??ng h? thông minh
DH2020006978,2020-01-13,KH00003,0967250448,TP. H? Chí Minh,SP024,Samsung Galaxy Watch6,?? ?i?n t?,8,"5,490,000",15%,"6,588,000","43,920,000","3,733,000","25,000","41,090,000",Giao Hàng Nhanh,Th? ngân hàng,Facebook,H?y ??n,2020-01-17,20,Samsung,??ng h? thông minh
DH2020009531,2020-01-13,KH00037,0766654656,Cà Mau,SP019,Bàn phím Logitech K380,?? ?i?n t?,2,"690,000",10%,"138,000","1,380,000","124,000","30,000","1,396,000",Viettel Post,COD,C?a hàng,?ã giao,2020-01-16,20,Logitech,Ph? ki?n
DH2020005492,2020-01-14,KH02106,0987999196,An Giang,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,1,"7,990,000",7%,"559,000","7,990,000","743,000","25,000","8,199,000",Ninja Van,COD,Facebook,Hoàn hàng,2020-01-19,1,Samsung,Tivi
DH2020002316,2020-01-15,KH00008,0760351162,??ng Nai,SP014,Loa Bluetooth JBL Go 4,?? ?i?n t?,1,"1,190,000",15%,"178,000","1,190,000","101,000","25,000","1,138,000",Giao Hàng Nhanh,Ví ?i?n t?,TikTok Shop,?ang giao,2020-01-20,20,JBL,Loa
DH2020003514,2020-01-15,KH00064,0817278937,??ng Nai,SP001,Samsung Galaxy A15,?? ?i?n t?,1,"4,590,000",0%,0,"4,590,000","459,000","28,000","5,077,000",Giao Hàng Nhanh,Chuy?n kho?n,TikTok Shop,?ã giao,2020-01-20,15,Samsung,?i?n tho?i
DH2020002032,2020-01-16,KH01080,0962325279,??ng Nai,SP019,Bàn phím Logitech K380,?? ?i?n t?,1,"690,000",0%,0,"690,000","69,000","30,000","789,000",Ninja Van,Ví ?i?n t?,Shopee,H?y ??n,2020-01-19,1,Logitech,Ph? ki?n
DH2020003279,2020-01-16,KH00001,0853807152,TP. H? Chí Minh,SP017,Màn hình Dell 24 inch,?? ?i?n t?,6,"3,290,000",12%,"2,369,000","19,740,000","1,737,000","30,000","19,138,000",Viettel Post,Chuy?n kho?n,Facebook,?ã giao,2020-01-19,20,Dell,Màn hình
DH2020003885,2020-01-16,KH00009,0853050012,TP. H? Chí Minh,SP020,? c?ng SSD Kingston 500GB,?? ?i?n t?,1,"1,190,000",15%,"178,000","1,190,000","101,000","40,000","1,153,000",Viettel Post,COD,Zalo,?ã giao,2020-01-19,20,Kingston,Linh ki?n
DH2020005100,2020-01-16,KH00046,0832535522,C?n Th?,SP024,Samsung Galaxy Watch6,?? ?i?n t?,1,"5,490,000",15%,"824,000","5,490,000","467,000","35,000","5,168,000",Ninja Van,Th? ngân hàng,Shopee,?ã giao,2020-01-22,20,Samsung,??ng h? thông minh
DH2020007040,2020-01-16,KH00020,0329823170,An Giang,SP013,Tai nghe Xiaomi Redmi Buds 5,?? ?i?n t?,1,"990,000",0%,0,"990,000","99,000","25,000","1,114,000",Giao Hàng Nhanh,COD,TikTok Shop,Hoàn hàng,2020-01-20,20,Xiaomi,Tai nghe
DH2020007305,2020-01-16,KH00002,0771235506,TP. H? Chí Minh,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,3,"7,990,000",10%,"2,397,000","23,970,000","2,157,000","28,000","23,758,000",J&T Express,Ví ?i?n t?,Facebook,?ã giao,2020-01-21,20,Samsung,Tivi
DH2020008500,2020-01-16,KH00009,0853050012,TP. H? Chí Minh,SP001,Samsung Galaxy A15,?? ?i?n t?,8,"4,590,000",20%,"7,344,000","36,720,000","2,938,000","28,000","32,342,000",Ninja Van,Th? ngân hàng,Zalo,?ã giao,2020-01-21,20,Samsung,?i?n tho?i
DH2020009167,2020-01-16,KH00001,0853807152,TP. H? Chí Minh,SP008,Laptop Dell Inspiron 15,?? ?i?n t?,3,"13,990,000",7%,"2,938,000","41,970,000","3,903,000","45,000","42,980,000",J&T Express,COD,TikTok Shop,?ang giao,2020-01-20,20,Dell,Laptop
DH2020009190,2020-01-16,KH00309,0972420157,An Giang,SP010,Laptop Asus Vivobook 15,?? ?i?n t?,1,"12,990,000",3%,"390,000","12,990,000","1,260,000","18,000","13,878,000",Viettel Post,Th? ngân hàng,Zalo,?ã giao,2020-01-22,2,Asus,Laptop
DH2020001312,2020-01-17,KH01074,0381818855,Tây Ninh,SP001,Samsung Galaxy A15,?? ?i?n t?,4,"4,590,000",15%,"2,754,000","18,360,000","1,561,000","30,000","17,197,000",J&T Express,COD,C?a hàng,?ã giao,2020-01-20,3,Samsung,?i?n tho?i
DH2020003288,2020-01-17,KH00003,0967250448,??ng Tháp,SP011,Tai nghe AirPods 3,?? ?i?n t?,1,"3,990,000",0%,0,"3,990,000","399,000","40,000","4,429,000",Ninja Van,Th? ngân hàng,Zalo,?ã giao,2020-01-21,20,Apple,Tai nghe
DH2020006693,2020-01-17,KH00005,0705762159,C?n Th?,SP022,Cáp s?c Type-C Anker,?? ?i?n t?,1,"190,000",0%,0,"190,000","19,000","22,000","231,000",Giao Hàng Nhanh,Ví ?i?n t?,TikTok Shop,?ã giao,2020-01-22,20,Anker,Ph? ki?n
DH2020001898,2020-01-18,KH00075,0332403574,V?nh Long,SP011,Tai nghe AirPods 3,?? ?i?n t?,4,"3,990,000",3%,"479,000","15,960,000","1,548,000","18,000","17,047,000",Giao Hàng Ti?t Ki?m,Chuy?n kho?n,Facebook,?ã giao,2020-01-21,9,Apple,Tai nghe
DH2020002631,2020-01-18,KH00001,0853807152,V?nh Long,SP018,Chu?t Logitech M331,?? ?i?n t?,3,"390,000",12%,"140,000","1,170,000","103,000","25,000","1,158,000",Ninja Van,Ví ?i?n t?,Website,?ã giao,2020-01-23,20,Logitech,Ph? ki?n
DH2020002677,2020-01-18,KH00337,0336521154,Tây Ninh,SP014,Loa Bluetooth JBL Go 4,?? ?i?n t?,3,"1,190,000",15%,"536,000","3,570,000","303,000","35,000","3,372,000",Viettel Post,Chuy?n kho?n,Zalo,?ã xác nh?n,2020-01-22,3,JBL,Loa
DH2020004617,2020-01-18,KH00007,0341806456,An Giang,SP001,Samsung Galaxy A15,?? ?i?n t?,1,"4,590,000",10%,"459,000","4,590,000","413,000","28,000","4,572,000",Viettel Post,Chuy?n kho?n,Shopee,Hoàn hàng,2020-01-20,20,Samsung,?i?n tho?i
DH2020006508,2020-01-18,KH00003,0967250448,TP. H? Chí Minh,SP011,Tai nghe AirPods 3,?? ?i?n t?,3,"3,990,000",5%,"598,000","11,970,000","1,137,000","30,000","12,539,000",VNPost,Chuy?n kho?n,Facebook,?ang giao,2020-01-24,20,Apple,Tai nghe
DH2020007287,2020-01-18,KH00001,0853807152,??ng Nai,SP010,Laptop Asus Vivobook 15,?? ?i?n t?,4,"12,990,000",7%,"3,637,000","51,960,000","4,832,000","22,000","53,177,000",J&T Express,Ví ?i?n t?,TikTok Shop,?ã giao,2020-01-20,20,Asus,Laptop
DH2020007445,2020-01-18,KH00001,0853807152,??ng Nai,SP008,Laptop Dell Inspiron 15,?? ?i?n t?,1,"13,990,000",5%,"700,000","13,990,000","1,329,000","40,000","14,659,000",VNPost,COD,Zalo,?ã giao,2020-01-20,20,Dell,Laptop
DH2020007595,2020-01-18,KH00001,0853807152,C?n Th?,SP017,Màn hình Dell 24 inch,?? ?i?n t?,1,"3,290,000",12%,"395,000","3,290,000","290,000","25,000","3,210,000",Viettel Post,Th? ngân hàng,Website,?ang giao,2020-01-24,20,Dell,Màn hình
DH2020009485,2020-01-18,KH00006,0885212220,??ng Tháp,SP009,Laptop HP Pavilion 14,?? ?i?n t?,1,"15,990,000",10%,"1,599,000","15,990,000","1,439,000","22,000","15,852,000",Giao Hàng Nhanh,Chuy?n kho?n,Facebook,?ã giao,2020-01-24,20,HP,Laptop
DH2020001467,2020-01-19,KH00261,0775400682,An Giang,SP003,iPhone 15,?? ?i?n t?,3,"19,990,000",0%,0,"59,970,000","5,997,000","25,000","65,992,000",Viettel Post,Th? ngân hàng,Website,?ã giao,2020-01-22,5,Apple,?i?n tho?i
DH2020006716,2020-01-19,KH00003,0967250448,TP. H? Chí Minh,SP019,Bàn phím Logitech K380,?? ?i?n t?,1,"690,000",12%,"83,000","690,000","61,000","18,000","686,000",Ninja Van,COD,Shopee,?ã xác nh?n,2020-01-23,20,Logitech,Ph? ki?n
DH2020009594,2020-01-19,KH00001,0853807152,??ng Nai,SP024,Samsung Galaxy Watch6,?? ?i?n t?,2,"5,490,000",10%,"1,098,000","10,980,000","988,000","40,000","10,910,000",Viettel Post,Ví ?i?n t?,Facebook,?ã xác nh?n,2020-01-24,20,Samsung,??ng h? thông minh
