Ma_Don;Ngay_Dat;So_Dien_Thoai;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong; Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ; Tong_Hang ; Phi_Van_Chuyen ; Tong_Thanh_Toan ;Don_Vi_Giao;Phuong_Thuc_Thanh_Toan;Kenh_Ban;Trang_Thai;Ngay_Giao_Du_Kien;So_Lan_Khach_Quay_Lai;Thuong_Hieu;Danh_Muc
DH2020008286;05/01/2020;705762159;TP. Hồ Chí Minh;Phường Chợ Lớn;123 Nguyễn Văn Cừ;SP008;Laptop Dell Inspiron 15;Đồ điện tử;3; 13,990,000 ₫ ;0.2; 8,394,000 ₫ ; 41,970,000 ₫ ;18,00 ₫; 36,952,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Shopee;Đã giao;07/01/2020;20;Dell;Laptop
DH2020009083;05/01/2020;853807152;Đồng Nai;Phường Trấn Biên;454 Trần Hưng Đạo;SP004;iPhone 14;Đồ điện tử;1; 16,990,000 ₫ ;0.07; 1,189,000 ₫ ; 16,990,000 ₫ ;22,00 ₫; 17,403,000 ₫ ;Ninja Van;Ví điện tử;Zalo;Đã giao;08/01/2020;20;Apple;Điện thoại
DH2020001339;06/01/2020;328046120;An Giang;Phường Châu Đốc;341 Hai Bà Trưng;SP022;Cáp sạc Type-C Anker;Đồ điện tử;5;190,00 ₫;0.05;48,00 ₫;950,00 ₫;45,00 ₫; 1,037,000 ₫ ;Viettel Post;Ví điện tử;Shopee;Đã giao;11/01/2020;19;Anker;Phụ kiện
DH2020004819;06/01/2020;853807152;TP. Hồ Chí Minh;Phường Thủ Đức;381 Pasteur;SP024;Samsung Galaxy Watch6;Đồ điện tử;1; 5,490,000 ₫ ;0.05;274,00 ₫; 5,490,000 ₫ ;22,00 ₫; 5,760,000 ₫ ;VNPost;Ví điện tử;TikTok Shop;Đã giao;08/01/2020;20;Samsung;Đồng hồ thông minh
DH2020008719;06/01/2020;853807152;Tây Ninh;Phường Tây Ninh;199 Pasteur;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0.07; 1,153,000 ₫ ; 16,470,000 ₫ ;18,00 ₫; 16,867,000 ₫ ;Viettel Post;Chuyển khoản;Website;Đã giao;10/01/2020;20;Samsung;Đồng hồ thông minh
DH2020009051;06/01/2020;358998449;Cà Mau;Xã Ngọc Hiển;238 Nguyễn Trãi;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0.12; 2,879,000 ₫ ; 23,990,000 ₫ ;18,00 ₫; 23,240,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Shopee;Đã giao;08/01/2020;20;Apple;Laptop
DH2020000444;07/01/2020;941688807;Đồng Nai;Xã Long Thành;421 Điện Biên Phủ;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0; - ₫ ; 16,470,000 ₫ ;28,00 ₫; 18,145,000 ₫ ;VNPost;COD;Facebook;Đã giao;12/01/2020;3;Samsung;Đồng hồ thông minh
DH2020002081;07/01/2020;885212220;An Giang;Xã Tịnh Biên;267 Lý Thường Kiệt;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0; - ₫ ; 7,990,000 ₫ ;40,00 ₫; 8,829,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;TikTok Shop;Đang giao;13/01/2020;20;Xiaomi;Máy tính bảng
DH2020002965;07/01/2020;853807152;Tây Ninh;Phường Trảng Bàng;57 Hai Bà Trưng;SP011;Tai nghe AirPods 3;Đồ điện tử;1; 3,990,000 ₫ ;0.15;598,00 ₫; 3,990,000 ₫ ;40,00 ₫; 3,771,000 ₫ ;Ninja Van;Chuyển khoản;Website;Đã giao;13/01/2020;20;Apple;Tai nghe
DH2020003076;07/01/2020;330686394;TP. Hồ Chí Minh;Phường Thủ Đức;590 3 Tháng 2;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0.1; 2,399,000 ₫ ; 23,990,000 ₫ ;40,00 ₫; 23,790,000 ₫ ;Ninja Van;Chuyển khoản;TikTok Shop;Hoàn hàng;13/01/2020;20;Apple;Laptop
DH2020005458;07/01/2020;771235506;An Giang;Xã Tri Tôn;23 Cách Mạng Tháng Tám;SP010;Laptop Asus Vivobook 15;Đồ điện tử;1; 12,990,000 ₫ ;0.1; 1,299,000 ₫ ; 12,990,000 ₫ ;22,00 ₫; 12,882,000 ₫ ;Viettel Post;Chuyển khoản;Zalo;Đang giao;09/01/2020;20;Asus;Laptop
DH2020005524;07/01/2020;853807152;Cần Thơ;Phường Thốt Nốt;303 Nguyễn Huệ;SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190,00 ₫;0.2;114,00 ₫;570,00 ₫;45,00 ₫;547,00 ₫;Viettel Post;Thẻ ngân hàng;Website;Đã giao;09/01/2020;20;Anker;Phụ kiện
DH2020009664;07/01/2020;933464208;An Giang;Phường Châu Đốc;572 Nam Kỳ Khởi Nghĩa;SP016;Smart TV LG 55 inch;Đồ điện tử;2; 11,990,000 ₫ ;0.07; 1,679,000 ₫ ; 23,980,000 ₫ ;40,00 ₫; 24,571,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Shopee;Đã giao;10/01/2020;20;LG;Tivi
DH2020000116;08/01/2020;983133743;Cà Mau;Xã U Minh;434 Nam Kỳ Khởi Nghĩa;SP002;Samsung Galaxy S24;Đồ điện tử;4; 18,990,000 ₫ ;0.15; 11,394,000 ₫ ; 75,960,000 ₫ ;35,00 ₫; 71,058,000 ₫ ;J&T Express;COD;Shopee;Đã giao;12/01/2020;20;Samsung;Điện thoại
DH2020001378;08/01/2020;771235506;An Giang;Xã Tịnh Biên;468 Lý Thường Kiệt;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0.12;959,00 ₫; 7,990,000 ₫ ;18,00 ₫; 7,752,000 ₫ ;J&T Express;Thẻ ngân hàng;TikTok Shop;Đã giao;11/01/2020;20;Xiaomi;Máy tính bảng
DH2020001936;08/01/2020;820565283;TP. Hồ Chí Minh;Phường Tân Định;144 Nguyễn Huệ;SP026;Camera Xiaomi C300;Đồ điện tử;4;990,00 ₫;0; - ₫ ; 3,960,000 ₫ ;45,00 ₫; 4,401,000 ₫ ;Giao Hàng Tiết Kiệm;COD;TikTok Shop;Đã giao;14/01/2020;2;Xiaomi;Camera
DH2020003183;08/01/2020;331959717;TP. Hồ Chí Minh;Phường Tân Bình;137 Nguyễn Trãi;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990,00 ₫;0; - ₫ ; 1,980,000 ₫ ;18,00 ₫; 2,196,000 ₫ ;J&T Express;Ví điện tử;Shopee;Đã giao;14/01/2020;2;Xiaomi;Tai nghe
DH2020004381;08/01/2020;705762159;Đồng Nai;Phường Trấn Biên;54 Cách Mạng Tháng Tám;SP016;Smart TV LG 55 inch;Đồ điện tử;5; 11,990,000 ₫ ;0.05; 2,998,000 ₫ ; 59,950,000 ₫ ;18,00 ₫; 62,665,000 ₫ ;Ninja Van;Ví điện tử;Shopee;Đã giao;14/01/2020;20;LG;Tivi
DH2020002062;09/01/2020;857033519;An Giang;Phường Long Xuyên;444 Pasteur;SP019;Bàn phím Logitech K380;Đồ điện tử;3;690,00 ₫;0.03;62,00 ₫; 2,070,000 ₫ ;22,00 ₫; 2,231,000 ₫ ;J&T Express;Thẻ ngân hàng;Zalo;Đã giao;13/01/2020;20;Logitech;Phụ kiện
DH2020003763;09/01/2020;328046120;An Giang;Phường Châu Đốc;119 Nguyễn Trãi;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0.15; 3,897,000 ₫ ; 25,980,000 ₫ ;28,00 ₫; 24,319,000 ₫ ;VNPost;Chuyển khoản;Shopee;Đã giao;15/01/2020;19;Asus;Laptop
DH2020003931;09/01/2020;967250448;TP. Hồ Chí Minh;Phường Tân Định;516 Quang Trung;SP019;Bàn phím Logitech K380;Đồ điện tử;6;690,00 ₫;0.05;207,00 ₫; 4,140,000 ₫ ;25,00 ₫; 4,351,000 ₫ ;VNPost;Thẻ ngân hàng;TikTok Shop;Hoàn hàng;15/01/2020;20;Logitech;Phụ kiện
DH2020007163;09/01/2020;937311979;Cà Mau;Xã U Minh;364 Phạm Văn Đồng;SP001;Samsung Galaxy A15;Đồ điện tử;4; 4,590,000 ₫ ;0.1; 1,836,000 ₫ ; 18,360,000 ₫ ;28,00 ₫; 18,204,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Zalo;Hoàn hàng;13/01/2020;1;Samsung;Điện thoại
DH2020007577;09/01/2020;913689173;TP. Hồ Chí Minh;Phường Tân Định;198 3 Tháng 2;SP001;Samsung Galaxy A15;Đồ điện tử;5; 4,590,000 ₫ ;0.1; 2,295,000 ₫ ; 22,950,000 ₫ ;28,00 ₫; 22,749,000 ₫ ;J&T Express;COD;Website;Đã giao;11/01/2020;4;Samsung;Điện thoại
DH2020009257;09/01/2020;373648652;An Giang;Phường Châu Đốc;529 Võ Văn Kiệt;SP001;Samsung Galaxy A15;Đồ điện tử;1; 4,590,000 ₫ ;0; - ₫ ; 4,590,000 ₫ ;18,00 ₫; 5,067,000 ₫ ;Ninja Van;Ví điện tử;Cửa hàng;Đã giao;11/01/2020;20;Samsung;Điện thoại
DH2020009466;09/01/2020;352402878;An Giang;Xã Phú Tân;234 Võ Văn Kiệt;SP009;Laptop HP Pavilion 14;Đồ điện tử;2; 15,990,000 ₫ ;0; - ₫ ; 31,980,000 ₫ ;35,00 ₫; 35,213,000 ₫ ;Viettel Post;Chuyển khoản;Website;Đã giao;11/01/2020;20;HP;Laptop
DH2020003157;10/01/2020;885212220;Đồng Nai;Phường Trấn Biên;326 Cách Mạng Tháng Tám;SP001;Samsung Galaxy A15;Đồ điện tử;5; 4,590,000 ₫ ;0.05; 1,148,000 ₫ ; 22,950,000 ₫ ;45,00 ₫; 24,027,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Cửa hàng;Đã xác nhận;15/01/2020;20;Samsung;Điện thoại
DH2020007129;10/01/2020;771235506;TP. Hồ Chí Minh;Phường Bến Thành;188 Nguyễn Văn Cừ;SP003;iPhone 15;Đồ điện tử;1; 19,990,000 ₫ ;0.05; 1,000,000 ₫ ; 19,990,000 ₫ ;25,00 ₫; 20,914,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Facebook;Hủy đơn;16/01/2020;20;Apple;Điện thoại
DH2020007563;10/01/2020;358998449;Cà Mau;Xã Trần Văn Thời;503 3 Tháng 2;SP001;Samsung Galaxy A15;Đồ điện tử;2; 4,590,000 ₫ ;0.1;918,00 ₫; 9,180,000 ₫ ;30,00 ₫; 9,118,000 ₫ ;J&T Express;Thẻ ngân hàng;Shopee;Đang giao;13/01/2020;20;Samsung;Điện thoại
DH2020002313;11/01/2020;861527597;Cần Thơ;Phường Cái Răng;360 Hai Bà Trưng;SP007;MacBook Air M2;Đồ điện tử;2; 23,990,000 ₫ ;0.05; 2,399,000 ₫ ; 47,980,000 ₫ ;30,00 ₫; 50,169,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;TikTok Shop;Đã giao;14/01/2020;11;Apple;Laptop
DH2020002589;11/01/2020;818288530;TP. Hồ Chí Minh;Phường An Khánh;265 Lý Thường Kiệt;SP015;Smart TV Samsung 43 inch;Đồ điện tử;2; 7,990,000 ₫ ;0; - ₫ ; 15,980,000 ₫ ;40,00 ₫; 17,618,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;Cửa hàng;Đã giao;16/01/2020;4;Samsung;Tivi
DH2020004759;11/01/2020;853807152;Đồng Tháp;Phường Cao Lãnh;230 Điện Biên Phủ;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;5; 1,190,000 ₫ ;0.15;892,00 ₫; 5,950,000 ₫ ;30,00 ₫; 5,594,000 ₫ ;VNPost;COD;Zalo;Đã giao;17/01/2020;20;JBL;Loa
DH2020007206;11/01/2020;818329577;Vĩnh Long;Xã Bình Minh;375 Võ Văn Kiệt;SP024;Samsung Galaxy Watch6;Đồ điện tử;2; 5,490,000 ₫ ;0.12; 1,318,000 ₫ ; 10,980,000 ₫ ;28,00 ₫; 10,656,000 ₫ ;J&T Express;Thẻ ngân hàng;Shopee;Đã giao;13/01/2020;4;Samsung;Đồng hồ thông minh
DH2020002314;12/01/2020;982115845;Đồng Tháp;Phường Hồng Ngự;433 Điện Biên Phủ;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0.03;240,00 ₫; 7,990,000 ₫ ;18,00 ₫; 8,543,000 ₫ ;Ninja Van;COD;Website;Đã giao;17/01/2020;7;Xiaomi;Máy tính bảng
DH2020005028;12/01/2020;771235506;Tây Ninh;Xã Dương Minh Châu;395 Nam Kỳ Khởi Nghĩa;SP001;Samsung Galaxy A15;Đồ điện tử;1; 4,590,000 ₫ ;0.07;321,00 ₫; 4,590,000 ₫ ;22,00 ₫; 4,718,000 ₫ ;Viettel Post;Thẻ ngân hàng;Zalo;Đã giao;17/01/2020;20;Samsung;Điện thoại
DH2020009618;12/01/2020;853807152;TP. Hồ Chí Minh;Phường An Khánh;17 Cách Mạng Tháng Tám;SP002;Samsung Galaxy S24;Đồ điện tử;3; 18,990,000 ₫ ;0; - ₫ ; 56,970,000 ₫ ;25,00 ₫; 62,692,000 ₫ ;J&T Express;Ví điện tử;Shopee;Đã giao;17/01/2020;20;Samsung;Điện thoại
DH2020000932;13/01/2020;771235506;Cần Thơ;Phường Ô Môn;309 3 Tháng 2;SP024;Samsung Galaxy Watch6;Đồ điện tử;8; 5,490,000 ₫ ;0.15; 6,588,000 ₫ ; 43,920,000 ₫ ;30,00 ₫; 41,095,000 ₫ ;VNPost;Chuyển khoản;TikTok Shop;Hoàn hàng;15/01/2020;20;Samsung;Đồng hồ thông minh
DH2020006978;13/01/2020;967250448;TP. Hồ Chí Minh;Phường Bến Thành;300 Lý Thường Kiệt;SP024;Samsung Galaxy Watch6;Đồ điện tử;8; 5,490,000 ₫ ;0.15; 6,588,000 ₫ ; 43,920,000 ₫ ;25,00 ₫; 41,090,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Facebook;Hủy đơn;17/01/2020;20;Samsung;Đồng hồ thông minh
DH2020009531;13/01/2020;766654656;Cà Mau;Xã Ngọc Hiển;154 3 Tháng 2;SP019;Bàn phím Logitech K380;Đồ điện tử;2;690,00 ₫;0.1;138,00 ₫; 1,380,000 ₫ ;30,00 ₫; 1,396,000 ₫ ;Viettel Post;COD;Cửa hàng;Đã giao;16/01/2020;20;Logitech;Phụ kiện
DH2020005492;14/01/2020;987999196;An Giang;Phường Long Xuyên;465 3 Tháng 2;SP015;Smart TV Samsung 43 inch;Đồ điện tử;1; 7,990,000 ₫ ;0.07;559,00 ₫; 7,990,000 ₫ ;25,00 ₫; 8,199,000 ₫ ;Ninja Van;COD;Facebook;Hoàn hàng;19/01/2020;1;Samsung;Tivi
DH2020002316;15/01/2020;760351162;Đồng Nai;Phường Biên Hòa;287 Phạm Văn Đồng;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1; 1,190,000 ₫ ;0.15;178,00 ₫; 1,190,000 ₫ ;25,00 ₫; 1,138,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;TikTok Shop;Đang giao;20/01/2020;20;JBL;Loa
DH2020003514;15/01/2020;817278937;Đồng Nai;Phường Long Khánh;281 Võ Văn Kiệt;SP001;Samsung Galaxy A15;Đồ điện tử;1; 4,590,000 ₫ ;0; - ₫ ; 4,590,000 ₫ ;28,00 ₫; 5,077,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;TikTok Shop;Đã giao;20/01/2020;15;Samsung;Điện thoại
DH2020002032;16/01/2020;962325279;Đồng Nai;Phường Biên Hòa;274 Lê Lợi;SP019;Bàn phím Logitech K380;Đồ điện tử;1;690,00 ₫;0; - ₫ ;690,00 ₫;30,00 ₫;789,00 ₫;Ninja Van;Ví điện tử;Shopee;Hủy đơn;19/01/2020;1;Logitech;Phụ kiện
DH2020003279;16/01/2020;853807152;TP. Hồ Chí Minh;Phường Chợ Lớn;286 Lê Lợi;SP017;Màn hình Dell 24 inch;Đồ điện tử;6; 3,290,000 ₫ ;0.12; 2,369,000 ₫ ; 19,740,000 ₫ ;30,00 ₫; 19,138,000 ₫ ;Viettel Post;Chuyển khoản;Facebook;Đã giao;19/01/2020;20;Dell;Màn hình
DH2020003885;16/01/2020;853050012;TP. Hồ Chí Minh;Phường Sài Gòn;400 Cách Mạng Tháng Tám;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1; 1,190,000 ₫ ;0.15;178,00 ₫; 1,190,000 ₫ ;40,00 ₫; 1,153,000 ₫ ;Viettel Post;COD;Website;Đã giao;19/01/2020;20;Kingston;Linh kiện
DH2020005100;16/01/2020;832535522;Cần Thơ;Phường Ninh Kiều;415 Điện Biên Phủ;SP024;Samsung Galaxy Watch6;Đồ điện tử;1; 5,490,000 ₫ ;0.15;824,00 ₫; 5,490,000 ₫ ;35,00 ₫; 5,168,000 ₫ ;Ninja Van;Thẻ ngân hàng;Shopee;Đã giao;22/01/2020;20;Samsung;Đồng hồ thông minh
